extent,cluster_id,start_date,end_date,heatwave_start,heatwave_end,time_range,lat_range,lon_range,heatwave_length,month,year,spatial_extent
"{'time_range': (11163, 11165), 'lat_range': (40.78125, 47.8125), 'lon_range': (0.7017543859648876, 5.614035087719271), 'heatwave_length': 3}",1146,1970-08-02,1970-08-04,11163,11165,"(11163, 11165)","(40.78125, 47.8125)","(0.7017543859648876, 5.614035087719271)",3,8,1970,306346.0
"{'time_range': (11164, 11167), 'lat_range': (40.078125, 44.296875), 'lon_range': (5.614035087719271, 9.824561403508744), 'heatwave_length': 4}",1147,1970-08-03,1970-08-06,11164,11167,"(11164, 11167)","(40.078125, 44.296875)","(5.614035087719271, 9.824561403508744)",4,8,1970,163101.0
"{'time_range': (11165, 11168), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 4}",1148,1970-08-04,1970-08-07,11165,11168,"(11165, 11168)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",4,8,1970,97776.0
"{'time_range': (11167, 11169), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 3}",1149,1970-08-06,1970-08-08,11167,11169,"(11167, 11169)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",3,8,1970,191705.0
"{'time_range': (11196, 11205), 'lat_range': (35.859375, 54.84375), 'lon_range': (-9.824561403508792, 9.122807017543831), 'heatwave_length': 10}",1153,1970-09-04,1970-09-13,11196,11205,"(11196, 11205)","(35.859375, 54.84375)","(-9.824561403508792, 9.122807017543831)",10,9,1970,3132531.0
"{'time_range': (11211, 11226), 'lat_range': (35.859375, 54.84375), 'lon_range': (-9.824561403508792, 9.824561403508744), 'heatwave_length': 16}",1154,1970-09-19,1970-10-04,11211,11226,"(11211, 11226)","(35.859375, 54.84375)","(-9.824561403508792, 9.824561403508744)",16,9,1970,3248551.0
"{'time_range': (11230, 11236), 'lat_range': (40.78125, 54.84375), 'lon_range': (-3.5087719298245847, 9.824561403508744), 'heatwave_length': 7}",1155,1970-10-08,1970-10-14,11230,11236,"(11230, 11236)","(40.78125, 54.84375)","(-3.5087719298245847, 9.824561403508744)",7,10,1970,1560385.0
"{'time_range': (11237, 11241), 'lat_range': (35.859375, 40.78125), 'lon_range': (-7.719298245614056, -2.1052631578947603), 'heatwave_length': 5}",1156,1970-10-15,1970-10-19,11237,11241,"(11237, 11241)","(35.859375, 40.78125)","(-7.719298245614056, -2.1052631578947603)",5,10,1970,268644.0
"{'time_range': (11251, 11260), 'lat_range': (35.859375, 54.84375), 'lon_range': (-9.122807017543881, 9.824561403508744), 'heatwave_length': 10}",1157,1970-10-29,1970-11-07,11251,11260,"(11251, 11260)","(35.859375, 54.84375)","(-9.122807017543881, 9.824561403508744)",10,10,1970,3132531.0
"{'time_range': (11252, 11255), 'lat_range': (40.078125, 46.40625), 'lon_range': (5.614035087719271, 9.824561403508744), 'heatwave_length': 4}",1159,1970-10-30,1970-11-02,11252,11255,"(11252, 11255)","(40.078125, 46.40625)","(5.614035087719271, 9.824561403508744)",4,10,1970,240528.0
"{'time_range': (11262, 11264), 'lat_range': (35.859375, 42.1875), 'lon_range': (-8.421052631578968, -3.5087719298245847), 'heatwave_length': 3}",1160,1970-11-09,1970-11-11,11262,11264,"(11262, 11264)","(35.859375, 42.1875)","(-8.421052631578968, -3.5087719298245847)",3,11,1970,299270.0
"{'time_range': (11271, 11273), 'lat_range': (45.703125, 54.84375), 'lon_range': (-2.4424906541753444e-14, 9.824561403508744), 'heatwave_length': 3}",1162,1970-11-18,1970-11-20,11271,11273,"(11271, 11273)","(45.703125, 54.84375)","(-2.4424906541753444e-14, 9.824561403508744)",3,11,1970,711248.0
"{'time_range': (11276, 11284), 'lat_range': (35.859375, 54.84375), 'lon_range': (-8.421052631578968, 9.824561403508744), 'heatwave_length': 9}",1165,1970-11-23,1970-12-01,11276,11284,"(11276, 11284)","(35.859375, 54.84375)","(-8.421052631578968, 9.824561403508744)",9,11,1970,3016511.0
"{'time_range': (11278, 11284), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 7}",1166,1970-11-25,1970-12-01,11278,11284,"(11278, 11284)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",7,11,1970,191705.0
"{'time_range': (11286, 11288), 'lat_range': (42.890625, 53.4375), 'lon_range': (-1.4035087719298485, 6.315789473684184), 'heatwave_length': 3}",1168,1970-12-03,1970-12-05,11286,11288,"(11286, 11288)","(42.890625, 53.4375)","(-1.4035087719298485, 6.315789473684184)",3,12,1970,672936.0
"{'time_range': (11292, 11294), 'lat_range': (43.59375, 52.734375), 'lon_range': (-9.824561403508792, -8.421052631578968), 'heatwave_length': 3}",1169,1970-12-09,1970-12-11,11292,11294,"(11292, 11294)","(43.59375, 52.734375)","(-9.824561403508792, -8.421052631578968)",3,12,1970,106038.0
"{'time_range': (11320, 11324), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 5}",1171,1971-01-06,1971-01-10,11320,11324,"(11320, 11324)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",5,1,1971,97776.0
"{'time_range': (11321, 11324), 'lat_range': (40.078125, 45.703125), 'lon_range': (5.614035087719271, 9.824561403508744), 'heatwave_length': 4}",1172,1971-01-07,1971-01-10,11321,11324,"(11321, 11324)","(40.078125, 45.703125)","(5.614035087719271, 9.824561403508744)",4,1,1971,215033.0
"{'time_range': (11337, 11343), 'lat_range': (43.59375, 54.84375), 'lon_range': (0.7017543859648876, 9.824561403508744), 'heatwave_length': 7}",1174,1971-01-23,1971-01-29,11337,11343,"(11337, 11343)","(43.59375, 54.84375)","(0.7017543859648876, 9.824561403508744)",7,1,1971,830722.0
"{'time_range': (11340, 11345), 'lat_range': (45.703125, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 6}",1175,1971-01-26,1971-01-31,11340,11345,"(11340, 11345)","(45.703125, 54.84375)","(-9.824561403508792, -7.719298245614056)",6,1,1971,152410.0
"{'time_range': (11365, 11373), 'lat_range': (35.859375, 42.890625), 'lon_range': (-8.421052631578968, -1.4035087719298485), 'heatwave_length': 9}",1177,1971-02-20,1971-02-28,11365,11373,"(11365, 11373)","(35.859375, 42.890625)","(-8.421052631578968, -1.4035087719298485)",9,2,1971,472661.0
"{'time_range': (11392, 11394), 'lat_range': (54.84375, 54.84375), 'lon_range': (3.508771929824536, 9.122807017543831), 'heatwave_length': 3}",1178,1971-03-19,1971-03-21,11392,11394,"(11392, 11394)","(54.84375, 54.84375)","(3.508771929824536, 9.122807017543831)",3,3,1971,0.0
"{'time_range': (11412, 11420), 'lat_range': (40.78125, 54.84375), 'lon_range': (-2.8070175438596725, 7.017543859649096), 'heatwave_length': 9}",1180,1971-04-08,1971-04-16,11412,11420,"(11412, 11420)","(40.78125, 54.84375)","(-2.8070175438596725, 7.017543859649096)",9,4,1971,1149757.0
